name,profession,age,ranking_visib_5criteria,date_added_to_alivewatch,risk_factor
E._D._Hirsch,literary,97,70756.5,2024-01-03,0.5422175
Elliott_Gould,actor,87,4843.0,2024-01-03,0.541785
Frederick_Forsyth,writer,87,5013.0,2024-01-03,0.540935
Ted_Turner,entrepreneur,87,5152.5,2024-01-03,0.5402375
H._D._Deve_Gowda,politician,92,38343.0,2024-01-03,0.539285
Peter_Brown_(historian),historian,90,25269.0,2024-01-03,0.538655
Terry_Gibbs,bandleader,101,97891.5,2024-01-03,0.5385425
Sheila_Jordan,music,97,71687.0,2024-01-03,0.537565
Anita_Desai,writer,88,12354.5,2024-01-03,0.5372275
John_Standing,actor,91,32298.0,2024-01-03,0.53651
Don_McCullin,biographer,90,28575.0,2024-01-03,0.522125
Peter_Arnett,journalist,91,35309.0,2024-01-03,0.521455
Dave_Grusin,composer,91,13840.5,2024-01-03,0.6287975
Jack_McDevitt,writer,90,32639.5,2024-01-03,0.5018025
George_Hamilton_(actor),film,86,5358.0,2024-01-03,0.50621
Jay_Rockefeller,politician,88,18667.0,2024-01-03,0.505665
Richard_Beymer,actor,87,12081.0,2024-01-03,0.505595
Richard_Benjamin,film,87,12093.5,2024-01-03,0.5055325
Peter_Watkins,film,90,32091.0,2024-01-03,0.504545
James_Dobson,psychologist,89,25658.0,2024-01-03,0.50371
J._Michael_Bishop,biologist,89,25712.0,2024-01-03,0.50344
Peter_Hirsch,physicist,100,98321.5,2024-01-03,0.5033925
Scott_Glenn,actor,86,5931.0,2024-01-03,0.503345
Judy_Parfitt,actor,90,32398.0,2024-01-03,0.50301
Martha_Grimes,writer,94,58909.0,2024-01-03,0.502455
Carol_Lawrence,actor,93,52378.5,2024-01-03,0.5021075
Ronny_Cox,actor,87,12798.0,2024-01-03,0.50201
Tom_Paxton,singer,88,19609.0,2024-01-03,0.500955
Joseph_Nye,political_scientist,88,15677.0,2024-01-03,0.520615
Ali_MacGraw,actor,86,6479.0,2024-01-03,0.500605
Neil_Sedaka,singer,86,6580.0,2024-01-03,0.5001
Jake_Garn,politician,93,52790.0,2024-01-03,0.50005
Rainer_Weiss,physicist,93,53134.0,2024-01-03,0.49833
Lawrence_Block,writer,87,13630.0,2024-01-03,0.49785
Grace_Slick,singer,86,7122.5,2024-01-03,0.4973875
Diana_Muldaur,actor,87,13746.0,2024-01-03,0.49727
Tommy_Steele,singer,89,27026.0,2024-01-03,0.49687
Bill_Moyers,journalist,91,40364.0,2024-01-03,0.49618
Ted_Nelson,philosopher,88,20631.0,2024-01-03,0.495845
Roger_Norrington,conductor,91,40460.0,2024-01-03,0.4957
Shirley_Eaton,actor,88,20759.5,2024-01-03,0.4952025
Frederic_Raphael,actor,94,60519.0,2024-01-03,0.494405
Jayant_Narlikar,physicist,87,11949.0,2024-01-03,0.506255
Michael_Moorcock,novelist,86,5296.0,2024-01-03,0.50652
Bobby_Seale,activist,89,24685.0,2024-01-03,0.508575
Nick_Clooney,journalist,91,37868.0,2024-01-03,0.50866
F._Murray_Abraham,actor,86,2515.0,2024-01-03,0.520425
Gerald_Scarfe,caricaturist,89,22462.0,2024-01-03,0.51969
Leon_Panetta,politician,87,9272.0,2024-01-03,0.51964
Richard_M._Karp,mathematician,90,29157.5,2024-01-03,0.5192125
Loretta_Swit,actor,88,15972.0,2024-01-03,0.51914
Lily_Tomlin,actor,86,2840.0,2024-01-03,0.5188
"Katharine,_Duchess_of_Kent",royal_family,92,42471.0,2024-01-03,0.518645
Larry_Lieber,artist,94,55760.0,2024-01-03,0.5182
Archie_Shepp,composer,88,16231.0,2024-01-03,0.517845
Gilbert_Strang,mathematician,91,36110.0,2024-01-03,0.51745
Hamilton_O._Smith,biologist,94,56365.0,2024-01-03,0.515175
Eugene_Braunwald,cardiologist,96,69728.0,2024-01-03,0.51436
Connie_Stevens,film,87,10472.0,2024-01-03,0.51364
"Princess_Alexandra,_The_Honourable_Lady_Ogilvy",queen,89,23740.0,2024-01-03,0.5133
Edward_Ruscha,painter,88,17230.0,2024-01-03,0.51285
Carol_Gilligan,psychologist,89,24030.0,2024-01-03,0.51185
Derek_Bok,education,95,63685.0,2024-01-03,0.511575
Larry_Niven,writer,87,10960.0,2024-01-03,0.5112
Bruce_Glover,actor,93,50600.0,2024-01-03,0.511
Jackie_Stewart,racing,86,4424.0,2024-01-03,0.51088
Stanley_G._Payne,historian,91,37505.5,2024-01-03,0.5104725
Michael_Parenti,political_scientist,92,44111.0,2024-01-03,0.510445
Garrett_Morris,actor,88,17840.0,2024-01-03,0.5098
Meredith_Belbin,scientist,99,90585.0,2024-01-03,0.509075
David_Baltimore,virologist,87,11399.0,2024-01-03,0.509005
Harris_Yulin,actor,88,18002.0,2024-01-03,0.50899
Judea_Pearl,computer_scientist,89,24604.0,2024-01-03,0.50898
Thomas_Nagel,philosopher,88,9361.5,2024-01-03,0.5521925
Ray_Cooney,playwright,93,42275.0,2024-01-03,0.552625
Lee_Friedlander,photographer,91,29053.0,2024-01-03,0.552735
Constance_Towers,singer,92,27304.0,2024-01-03,0.59448
Jean_Marsh,screenwriter,91,18911.0,2024-01-03,0.603445
Nicholas_Pileggi,writer,92,25517.0,2024-01-03,0.603415
Buddy_Guy,guitar,89,5722.0,2024-01-03,0.60339
Engelbert_Humperdinck_(singer),singer,89,5779.0,2024-01-03,0.603105
Helen_Merrill,singer,95,45759.0,2024-01-03,0.601205
Charles_Koch,business,90,12965.0,2024-01-03,0.600175
David_Lee_(physicist),physicist,94,39681.0,2024-01-03,0.598595
Richard_Estes,painter,93,33111.0,2024-01-03,0.598445
Penelope_Lively,writer,92,26659.0,2024-01-03,0.597705
La_Monte_Young,composer,90,13587.0,2024-01-03,0.597065
James_B._Harris,film,97,59893.0,2024-01-03,0.596535
Caroline_Graham,screenwriter,94,40231.0,2024-01-03,0.595845
H̩ctor_Elizondo,actor,89,7241.0,2024-01-03,0.595795
Lee_Meriwether,actor,90,14104.0,2024-01-03,0.59448
Donald_Knuth,mathematician,87,2603.0,2024-01-03,0.552985
Warren_Beatty,actor,88,1091.5,2024-01-03,0.5935425
John_G._Thompson,mathematician,93,34097.0,2024-01-03,0.593515
Harrison_Schmitt,geologist,90,14350.0,2024-01-03,0.59325
Matthew_Meselson,biologist,95,47385.0,2024-01-03,0.593075
Donald_P._Bellisario,screenwriter,90,14399.5,2024-01-03,0.5930025
Richard_Bach,writer,89,7861.0,2024-01-03,0.592695
Lou_Adler,producer,92,27746.0,2024-01-03,0.59227
George_Ariyoshi,politician,99,73953.0,2024-01-03,0.592235
Brian_Blessed,actor,89,7972.0,2024-01-03,0.59214
Philip_Glass,composer,88,1415.0,2024-01-03,0.591925
Ann_Robinson,actor,96,54218.0,2024-01-03,0.59191
Duane_Michals,photographer,93,34441.0,2024-01-03,0.591795
Katherine_Jackson,biographer,95,47784.0,2024-01-03,0.59108
Bill_Wyman,music,89,5268.0,2024-01-03,0.60566
