Name,Profession,Approximate Current Age,Date Added to Alivewatch
Cynthia Ozick,novelist,97,2024-01-03
Robert A. M. Stern,architect,86,2024-01-03
Margaret Hamilton (scientist),computer_scientist,89,2024-01-03
John Boorman,screenwriter,92,2024-01-03
Kenneth Colley,actor,88,2024-01-03
Ralph E. Gomory,mathematician,96,2024-01-03
Louis Farrakhan,religious,92,2024-01-03
Joan Jonas,choreographer,89,2024-01-03
William Bolcom,pianist,87,2024-01-03
Terry Kiser,actor,86,2024-01-03
Bud Selig,baseball,91,2024-01-03
Joseph Wambaugh,writer,88,2024-01-03
Jane Wagner,screenwriter,90,2024-01-03
Hampton Fancher,actor,87,2024-01-03
Clarence Carter,singer,89,2024-01-03
Tommy Sands (American singer),singer,88,2024-01-03
John Danforth,politician,89,2024-01-03
Israel Kirzner,economist,95,2024-01-03
Daniel Kleppner,physicist,93,2024-01-03
Paul R. Ehrlich,lepidopterist,93,2024-01-03
Helen Prejean,monk,86,2024-01-03
Richard Chamberlain,actor,91,2024-01-03
Michael Hudson (economist),economist,86,2024-01-03
Peter H. Raven,botanist,89,2024-01-03
Jerry Kramer,football,89,2024-01-03
Gloria Steinem,journalist,91,2024-01-03
Rich Little,impressionist,87,2024-01-03
James E. Darnell,biologist,95,2024-01-03
John Cullum,screenwriter,95,2024-01-03
Will Hutchins,actor,95,2024-01-03
Mason Williams,music,87,2024-01-03
Andrew Young,politician,93,2024-01-03
James M. McPherson,historian,89,2024-01-03
Robert Adams (photographer),photographer,88,2024-01-03
Hyman Bass,mathematician,93,2024-01-03
Eddie Floyd,singer,88,2024-01-03
Peter Lovesey,writer,89,2024-01-03
Ren̩e Richards,player,91,2024-01-03
Antonia Fraser,author,93,2024-01-03
Toshiko Akiyoshi,bandleader,96,2024-01-03
Lawrence Gordon (producer),film,89,2024-01-03
William Julius Wilson,sociologist,90,2024-01-03
Mike Ditka,football,86,2024-01-03
John Negroponte,politician,86,2024-01-03
George M. Whitesides,chemist,86,2024-01-03
Joseph D. Pistone,crime,86,2024-01-03
Raymond J. Barry,actor,86,2024-01-03
Daniel C. Tsui,physicist,86,2024-01-03
Peter Kreeft,theologian,88,2024-01-03
Kathryn Beaumont,actor,87,2024-01-03
Aidan Chambers,playwright,91,2024-01-03
Nita Lowey,politician,88,2024-01-03
Roland Burris,politician,88,2024-01-03
Frances Fox Piven,political_scientist,93,2024-01-03
Dick Hyman,composer,98,2024-01-03
Stu Phillips (composer),composer,96,2024-01-03
Robert Darnton,historian,86,2024-01-03
Arthur Scargill,politician,87,2024-01-03
Peggy Seeger,singer,90,2024-01-03
Alice Hirson,actor,96,2024-01-03
Susan Flannery,actor,86,2024-01-03
Shirley Jones,actor,91,2024-01-03
Chuck Grassley,politician,92,2024-01-03
Dallin H. Oaks,lawyer,93,2024-01-03
John F. MacArthur,writer,86,2024-01-03
Alan Walker (musicologist),music,95,2024-01-03
Susan Brownmiller,feminist,90,2024-01-03
Claire Tomalin,author,92,2024-01-03
James Burke (science historian),historian,89,2024-01-03
Clint Hill (Secret Service),secret_service_agent,93,2024-01-03
John Hopcroft,computer_scientist,86,2024-01-03
Irwin Winkler,film,94,2024-01-03
Peter Ueberroth,polo,88,2024-01-03
Ned Jarrett,driver,93,2024-01-03
Edward Gibson,astronaut,89,2024-01-03
Paul Craig Roberts,economist,86,2024-01-03
Jim McDermott,politician,89,2024-01-03
Neal Ascherson,essayist,93,2024-01-03
George Coleman,music,90,2024-01-03
Ray Stevens,singer,86,2024-01-03
John Leyton,actor,90,2024-01-03
Robert Shaye,film,86,2024-01-03
Porter Goss,politician,87,2024-01-03
Jane Elliott,activist,92,2024-01-03
Alvin Plantinga,theologian,93,2024-01-03
Samuel Bowles (economist),economist,89,2024-01-03
Michael Bell (actor),actor,87,2024-01-03
Frank Serpico,police,89,2024-01-03
Richard Petty,nascar,88,2024-01-03
Hubert Laws,music,86,2024-01-03
Michael Fairman,actor,91,2024-01-03
Joel Meyerowitz,photographer,87,2024-01-03
David Zinman,conductor,89,2024-01-03
Nikolai Tolstoy,writer,90,2024-01-03
Richard Lester,film,93,2024-01-03
Fred Alan Wolf,physicist,91,2024-01-03
Brian Auger,pianist,86,2024-01-03
"Richard Layard, Baron Layard",economist,91,2024-01-03
Kit Bond,politician,86,2024-01-03
Rudy Boschwitz,politician,95,2024-01-03
Bruce Babbitt,politician,87,2024-01-03
Jackie Joseph,actor,91,2024-01-03
Kevin Brownlow,film,87,2024-01-03
Jerry Hardin,actor,96,2024-01-03
Viva (actress),actor,87,2024-01-03
Peter Blake (artist),painter,93,2024-01-03
Pema Ch̦dr̦n,writer,89,2024-01-03
Julie Newmar,singer,92,2024-01-03
Jane Goodall,zoologist,91,2024-01-03
Larry Peerce,film,95,2024-01-03
Bruce Alberts,biochemist,87,2024-01-03
Wanda Ventham,actor,90,2024-01-03
Wendy Craig,actor,91,2024-01-03
Barbara Bain,actor,94,2024-01-03
James Tolkan,actor,94,2024-01-03
Talal Asad,anthropologist,92,2024-01-03
Jim Steranko,artist,87,2024-01-03
